Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,16.25,-2.75,0,top
C2,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,54.853,-24.4346,-90,top
C3,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,46.852,-21.9708,90,top
C4,220uF,CP_Elec_8x10,78.0432,-9.0422,90,top
C5,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,31.9168,-24.2314,90,top
C6,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,31.9,-8.1,-90,top
C7,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,45.05,-10.9,-90,top
C8,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,18.25,-13.25,180,top
C9,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,61.25,-7.45,180,top
C10,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,49,-9.45,-90,top
C11,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,59.2,-5.2,0,top
C12,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,53.1,-5.25,0,top
C13,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,55.3,-7.5,180,top
D1,green,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,13.725,-19.875,180,top
D2,red,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,13.6238,-12.2364,180,top
Q1,AO3400A,SOT-23,73.35,-26.2,0,top
Q2,AO3401A,SOT-23,79.752,-26.566,0,top
Q3,AO3400A,SOT-23,72.477,-20.962,0,top
Q4,AO3401A,SOT-23,78.7,-21.978,0,top
Q5,AO3400A,SOT-23,63.3625,-39.55,0,top
Q6,AO3401A,SOT-23,69.8395,-40.566,0,top
Q7,AO3400A,SOT-23,73.014,-44.78,0,top
Q8,AO3401A,SOT-23,79.491,-45.796,0,top
R1,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,48.1,-12.75,180,top
R2,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,49.05,-5.2,180,top
R3,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,78.348,-1.9556,180,top
R4,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,47.65,-15.05,180,top
R5,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,21.35,-24.1552,90,top
R6,120,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,19.25,-34.8,90,top
R7,100,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,67.052,-24.661,0,top
R8,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,70.1,-25.55,-90,top
