"Reference","Value","Datasheet","Footprint","Qty","Comment","OC_LCSC","path_to_docs"
"F1,F2,F3,F4,F5,F7,F8,F9,F10,F11,F12","Automotive_Fuse_Holder (2A)","https://docs.rs-online.com/92e6/A700000006779340.pdf","Robast:Fuse_Holder_RS_Pro_188-4477","11","","","Circuit_Protection/Fuses/Fuse_Holder/Automotive_Fuse/RS_PRO"
"F6","Automotive_Fuse_Holder (3A)","https://docs.rs-online.com/92e6/A700000006779340.pdf","Robast:Fuse_Holder_RS_Pro_188-4477","1","","","Circuit_Protection/Fuses/Fuse_Holder/Automotive_Fuse/RS_PRO"
"H1,H2,H3,H4","MountingHole_M4","~","MountingHole:MountingHole_4.3mm_M4","4","","",""
"H5,H6,H7,H8","MountingHole_M3","~","MountingHole:MountingHole_3.2mm_M3","4","","",""
"R1","120","https://www.lcsc.com/datasheet/lcsc_datasheet_2206010216_UNI-ROYAL-Uniroyal-Elec-0805W8F1200T5E_C17437.pdf","Resistor_SMD:R_0805_2012Metric","1","","C17437","Passive_Components/Resistors/UNI-ROYAL"
"X1,X2,X3,X4","RJ45","https://www.mouser.de/datasheet/2/418/3/NG_DS_1-1773464-9_MODULAR_JACKS_0315-1231992.pdf","Robast:TE_RJ45_6339160-1","4","","C125076","Connectors/Ethernet_Connectors/TE_Connectivity"
"X5,X6","Conn_01x02_5.08mm_angled","https://www.phoenixcontact.com/en-us/products/pcb-header-mstba-25-2-g-508-1757242?type=pdf","Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal","2","","","Connectors/Phoenix/MSTBA/2-G-5,08"
"X7","Conn_01x03_3.5mm_angled","~","Connector_Phoenix_MC:PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal","1","","","Connectors/Phoenix/MC/3-G-3,5"
"X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19","Conn_01x02_3.5mm_angled","https://docs.rs-online.com/de19/0900766b8157d3c3.pdf","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal","12","","","Connectors/Phoenix/MC/2-G-3,5"
"X20,X21","Conn_02x05_P2.54mm_angled","https://www.mouser.de/datasheet/2/571/Catalog-1102350.pdf","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Horizontal","2","","","Connectors/Headers/Preci-Dip/02x05_2.54"
