Designator,Val,Package,Mid X,Mid Y,Rotation,Side
C1,100nF,C_0402_1005Metric,126,-105.75,90,top
C2,100nF,C_0402_1005Metric,167.3,-127.2,90,top
C3,100nF,C_0402_1005Metric,166.5,-134.6,0,top
C4,100uF,VZH101M1KTR-1313,152.5,-135,90,top
C5,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,180.4,-143.2,0,top
C6,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,176.3,-143.2,180,top
C7,100nF,C_0402_1005Metric,168.2,-125.7,0,top
C8,100nF,C_0402_1005Metric,173.5,-123.12,-90,top
C9,100nF,C_0402_1005Metric,181.2,-116.4,0,top
C10,100nF,C_0402_1005Metric,169.3,-138.5,90,top
C11,100nF,C_0402_1005Metric,181.2,-115.4,0,top
C12,100nF,C_0402_1005Metric,181.2,-114.4,0,top
C13,100nF,C_0402_1005Metric,181.2,-113.4,0,top
C14,10uF,C_0603_1608Metric,197,-131.725,90,top
C15,10uF,C_0603_1608Metric,197,-128,-90,top
C16,4.7uF,C_1206_3216Metric,198.5,-142.975,90,top
C17,4.7uF,C_1206_3216Metric,196,-142.975,90,top
C18,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,145.3375,-100.2,-90,top
C19,4.7uF,C_1206_3216Metric,193.5,-142.975,90,top
C20,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,137.6,-100.2,-90,top
C21,1uF,C_0805_2012Metric,148.4,-108.8,-90,top
C22,100nF,C_0402_1005Metric,138.45,-107.45,90,top
C23,220nF,C_0805_2012Metric,200.75,-143,90,top
C24,100nF,C_0402_1005Metric,210,-142.73,90,top
C25,22uF,C_1206_3216Metric,198.5,-137.5,-90,top
C26,22uF,C_1206_3216Metric,196,-137.5,-90,top
C27,22uF,C_1206_3216Metric,193.5,-137.5,-90,top
C28,1uF,C_0805_2012Metric,212.325,-144.05,0,top
C29,22uF,C_1206_3216Metric,191,-137.5,-90,top
C30,4.7uF,C_1206_3216Metric,140.6,-106.5,90,top
C31,100nF,C_0402_1005Metric,149,-105.6,90,top
C32,22uF,C_1206_3216Metric,147.2,-104.6,90,top
C33,100nF,C_0402_1005Metric,126.42,-112.4,0,top
C34,22n 50V,C_0402_1005Metric,219.8,-130.8,90,top
C35,4.7uF,C_1206_3216Metric,218,-132,90,top
C36,100n,C_0402_1005Metric,220,-132.7,90,top
C37,100n,C_0402_1005Metric,226.5,-127.15,0,top
C38,100n,C_0402_1005Metric,227.95,-133,-90,top
C39,100n,C_0402_1005Metric,221.95,-127.15,180,top
C40,22n 50V,C_0402_1005Metric,239.5,-131.1,90,top
C41,100n,C_0402_1005Metric,239.5,-133,90,top
C42,100n,C_0402_1005Metric,246.3,-127.35,0,top
C43,100n,C_0402_1005Metric,247.7,-133.1,-90,top
C44,100n,C_0402_1005Metric,241.7,-127.35,180,top
C45,100uF,VZH101M1KTR-1313,242.2,-141.9,180,top
C46,100uF,VZH101M1KTR-1313,227.4,-141.9,0,top
C47,4.7uF,C_1206_3216Metric,237.8,-132.5,90,top
C48,100nF,C_0402_1005Metric,211.5,-116.75,180,top
C49,100nF,C_0402_1005Metric,206,-116.75,180,top
C50,100nF,C_0402_1005Metric,201.25,-116.7,0,top
C51,100nF,C_0402_1005Metric,193.45,-116.8,180,top
