Designator,Comment,Footprint,Qty,OC_LCSC
"F1,F2,F3,F4,F5,F7,F8,F9,F10,F11,F12",Automotive_Fuse_Holder (2A),Robast:Fuse_Holder_RS_Pro_188-4477,11,
F6,Automotive_Fuse_Holder (3A),Robast:Fuse_Holder_RS_Pro_188-4477,1,
"H1,H2,H3,H4",MountingHole_M4,MountingHole:MountingHole_4.3mm_M4,4,
"H5,H6,H7,H8",MountingHole_M3,MountingHole:MountingHole_3.2mm_M3,4,
R1,120,Resistor_SMD:R_0805_2012Metric,1,C17437
"X1,X2,X3,X4",RJ45,Robast:TE_RJ45_6339160-1,4,C125076
"X5,X6",Conn_01x02_5.08mm_angled,"Connector_Phoenix_MSTB:PhoenixContact_MSTBA_2,5_2-G-5,08_1x02_P5.08mm_Horizontal",2,
X7,Conn_01x03_3.5mm_angled,"Connector_Phoenix_MC:PhoenixContact_MC_1,5_3-G-3.5_1x03_P3.50mm_Horizontal",1,
"X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19",Conn_01x02_3.5mm_angled,"Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.5_1x02_P3.50mm_Horizontal",12,
"X20,X21",Conn_02x05_P2.54mm_angled,Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Horizontal,2,
